issue_key,summary,issue_type,epic_id,sprint_id,story_points,status,assignee,assignee_role,priority,created_at,updated_at,blocked_by
NOVA-2001,Design new one-page checkout flow wireframes,Story,EPIC-101,S01,5,Done,Elena Petrova,Frontend,Critical,2026-03-04,2026-03-24,
NOVA-2002,Implement address form with inline validation and autocomplete,Story,EPIC-101,S01,8,In Progress,Grace Okafor,Design,Critical,2026-03-03,2026-03-29,
NOVA-2003,Build order summary sidebar with live tax and shipping estimates,Story,EPIC-101,S01,5,Done,Devon Park,Frontend,Medium,2026-03-02,2026-03-28,
NOVA-2004,Implement typo tolerance with configurable edit distance,Story,EPIC-103,S01,5,Done,Tom Nguyen,QA,Medium,2026-02-26,2026-03-29,
NOVA-2005,Add synonym expansion for fashion and electronics categories,Story,EPIC-103,S01,5,Done,Marcus Webb,Backend,Medium,2026-03-08,2026-03-27,
NOVA-2006,Ship learning-to-rank model v1 for top queries,Story,EPIC-103,S01,8,Done,Aisha Khan,Data,Medium,2026-03-08,2026-03-24,
NOVA-2007,Build offline evaluation harness with judged query set,Task,EPIC-103,S01,3,Done,Tom Nguyen,QA,Medium,2026-03-02,2026-03-27,
NOVA-2008,Implement autocomplete with popularity-weighted suggestions,Story,EPIC-103,S01,5,Done,Tom Nguyen,QA,Medium,2026-03-15,2026-03-26,
NOVA-2009,Fix stale prices in search results after flash-sale start,Bug,EPIC-103,S01,2,Done,Aisha Khan,Data,High,2026-03-05,2026-03-26,
NOVA-2010,Roll out distributed tracing across checkout and payments,Story,EPIC-106,S01,5,Done,Tom Nguyen,QA,High,2026-03-10,2026-03-27,
NOVA-2011,Define SLOs and error budgets for the top five user journeys,Task,EPIC-106,S01,3,Done,Lukas Braun,DevOps,Medium,2026-03-11,2026-03-29,
NOVA-2012,Build unified service dashboard with golden signals,Story,EPIC-106,S01,5,Done,Lukas Braun,DevOps,Low,2026-02-26,2026-03-20,
NOVA-2013,Migrate checkout routes to the new design system components,Task,EPIC-101,S02,3,Done,Grace Okafor,Design,Critical,2026-03-17,2026-04-12,
NOVA-2014,Add express checkout entry points on cart and product pages,Story,EPIC-101,S02,5,Done,Tom Nguyen,QA,Critical,2026-03-11,2026-04-03,
NOVA-2015,Implement guest checkout with post-purchase account creation,Story,EPIC-101,S02,8,Blocked,Grace Okafor,Design,Low,2026-03-27,2026-04-12,NOVA-2002
NOVA-2016,Add category facet counts to search response,Story,EPIC-103,S02,5,Done,Tom Nguyen,QA,Medium,2026-03-09,2026-04-09,
NOVA-2017,Build zero-results page with spelling suggestions,Story,EPIC-103,S02,3,Done,Aisha Khan,Data,Medium,2026-03-25,2026-04-10,
NOVA-2018,Move product index rebuild to incremental updates,Story,EPIC-103,S02,8,Done,Tom Nguyen,QA,Medium,2026-03-24,2026-04-03,
NOVA-2019,Spike: embeddings-based recall for long-tail queries,Spike,EPIC-103,S02,2,Done,Tom Nguyen,QA,Low,2026-03-21,2026-04-09,
NOVA-2020,Add personalised boosts from browsing history,Story,EPIC-103,S02,5,Done,Tom Nguyen,QA,Medium,2026-03-19,2026-04-06,
NOVA-2021,Add search latency budgets and alerts,Task,EPIC-103,S02,3,Done,Aisha Khan,Data,Medium,2026-03-15,2026-04-08,
NOVA-2022,Implement query-intent classifier for navigational queries,Story,EPIC-103,S02,5,Done,Aisha Khan,Data,Low,2026-03-19,2026-04-09,
NOVA-2023,Reduce cold-start time by deferring analytics SDK init,Story,EPIC-104,S02,5,Done,Devon Park,Frontend,Medium,2026-03-21,2026-04-09,
NOVA-2024,Implement image caching with LRU eviction on product lists,Story,EPIC-104,S02,5,Done,Elena Petrova,Frontend,Medium,2026-03-21,2026-04-04,
NOVA-2025,Split app bundle and lazy-load rarely used screens,Task,EPIC-104,S02,3,Done,Elena Petrova,Frontend,Medium,2026-03-14,2026-04-03,
NOVA-2026,Cut log retention costs with tiered storage,Task,EPIC-106,S02,2,Done,Tom Nguyen,QA,Medium,2026-03-12,2026-04-03,
NOVA-2027,Add synthetic checks for the checkout happy path,Story,EPIC-106,S02,3,Done,Lukas Braun,DevOps,High,2026-03-18,2026-04-06,
NOVA-2028,Standardise alert runbooks and ownership tags,Task,EPIC-106,S02,2,Done,Lukas Braun,DevOps,Low,2026-03-09,2026-04-04,
NOVA-2029,Instrument feature flags with exposure events,Story,EPIC-106,S02,3,Done,Tom Nguyen,QA,Low,2026-03-09,2026-04-03,NOVA-2016
NOVA-2030,Support promo code stacking rules in the new cart summary,Story,EPIC-101,S03,3,In Progress,Devon Park,Frontend,Low,2026-04-12,2026-04-26,
NOVA-2031,Integrate Apple Pay and Google Pay buttons in payment step,Story,EPIC-101,S03,5,Done,Elena Petrova,Frontend,Critical,2026-04-05,2026-04-20,
NOVA-2032,Add analytics events for each checkout step transition,Task,EPIC-101,S03,2,Blocked,Elena Petrova,Frontend,Medium,2026-04-12,2026-04-26,NOVA-2030
NOVA-2033,Implement idempotency keys for all charge-creation endpoints,Story,EPIC-102,S03,8,Done,Priya Sharma,Backend,High,2026-03-24,2026-04-19,
NOVA-2034,Add automatic retry with backoff for gateway timeouts,Story,EPIC-102,S03,5,Done,Tom Nguyen,QA,Medium,2026-04-05,2026-04-19,
NOVA-2035,Fix duplicate results when products belong to multiple categories,Bug,EPIC-103,S03,2,Done,Tom Nguyen,QA,High,2026-03-28,2026-04-18,
NOVA-2036,Ship ranking model v2 with click-through features,Story,EPIC-103,S03,5,Done,Tom Nguyen,QA,Medium,2026-03-25,2026-04-20,
NOVA-2037,Integrate ranking experiments with the A/B test framework,Task,EPIC-103,S03,3,Done,Marcus Webb,Backend,Medium,2026-03-29,2026-04-21,
NOVA-2038,Add Redis cache for search suggestion queries,Story,EPIC-103,S03,5,Done,Tom Nguyen,QA,Medium,2026-04-01,2026-04-19,
NOVA-2039,Fix search analytics undercounting on infinite scroll,Bug,EPIC-103,S03,2,Done,Marcus Webb,Backend,Medium,2026-03-24,2026-04-26,
NOVA-2040,Expose sort-by-newest with recency decay blending,Story,EPIC-103,S03,3,Done,Marcus Webb,Backend,Medium,2026-04-09,2026-04-19,
NOVA-2041,Virtualise long product lists to cut memory usage,Story,EPIC-104,S03,8,Done,Devon Park,Frontend,High,2026-04-03,2026-04-18,
NOVA-2042,Spike: profile scroll jank on mid-tier Android devices,Spike,EPIC-104,S03,2,Done,Elena Petrova,Frontend,Medium,2026-03-25,2026-04-17,
NOVA-2043,Move cart sync to background fetch with conflict resolution,Story,EPIC-104,S03,5,Done,Devon Park,Frontend,High,2026-04-03,2026-04-26,
NOVA-2044,Fix noisy disk-space alerts on build agents,Bug,EPIC-106,S03,2,Done,Lukas Braun,DevOps,Medium,2026-03-31,2026-04-23,
NOVA-2045,Adopt the OpenTelemetry SDK across backend services,Story,EPIC-106,S03,5,Done,Tom Nguyen,QA,Low,2026-04-06,2026-04-18,
NOVA-2046,Build saved-cards picker with default card selection,Story,EPIC-101,S04,5,Done,Tom Nguyen,QA,Critical,2026-04-08,2026-05-04,
NOVA-2047,Implement shipping method selector with delivery date estimates,Story,EPIC-101,S04,3,Done,Tom Nguyen,QA,Critical,2026-04-23,2026-05-05,
NOVA-2048,Spike: evaluate address-verification providers for EU markets,Spike,EPIC-101,S04,2,In Progress,Elena Petrova,Frontend,High,2026-04-07,2026-05-10,
NOVA-2049,Rebuild payment step on the new payments SDK components,Story,EPIC-101,S04,8,To Do,Grace Okafor,Design,Medium,2026-04-23,2026-05-10,
NOVA-2050,Fix duplicate charge on gateway timeout retry,Bug,EPIC-102,S04,5,Done,Marcus Webb,Backend,High,2026-04-08,2026-05-01,
NOVA-2051,Implement 3DS2 challenge flow for EU cards,Story,EPIC-102,S04,8,Done,Marcus Webb,Backend,High,2026-04-15,2026-05-09,
NOVA-2052,Index seller ratings and shipping speed as ranking signals,Story,EPIC-103,S04,5,Done,Tom Nguyen,QA,Medium,2026-04-13,2026-05-06,
NOVA-2053,Hardening: implement typo tolerance with configurable edit distance,Story,EPIC-103,S04,5,Done,Tom Nguyen,QA,Medium,2026-04-24,2026-05-09,
NOVA-2054,Hardening: add synonym expansion for fashion and electronics categories,Story,EPIC-103,S04,5,Done,Aisha Khan,Data,Medium,2026-04-06,2026-05-06,
